source_id,distance_gspphot,teff_gspphot,mh_gspphot,logg_gspphot,phot_g_mean_mag
1827972239079445120,,,,,19.324108
1827972239080281088,,,,,20.551908
1827972239080283392,,,,,19.890757
3127462354501709184,,,,,20.29011
3127462384560607744,784.5802,6662.438,-0.5488,4.0551,12.568396
3127462384564217088,,,,,18.804583
3127462388854447104,,,,,20.562685
3127462388854455808,,,,,19.920929
3127462388854458624,,,,,19.941584
3127462388859932800,1505.2833,5054.383,-3.1108,4.7956,18.76543
3127462388859935232,3020.1309,8440.006,-0.9025,4.4932,17.16632
3127462418921294848,,,,,18.972225
3127462418921296256,,,,,19.753405
3127462418921300352,858.8575,3943.4187,-1.1998,4.9549,18.851288
3127462418921301504,1185.2738,4387.934,-1.6745,4.9244,18.638655
3127462418921306880,,,,,19.56989
3127462423214140672,,,,,19.804577
1827922481863063296,725.9773,3791.8923,-1.9498,4.3628,18.96744
1827922481863063808,,,,,19.52023
1827922481863064064,937.9386,4760.9263,-3.8729,4.9167,18.993917
1827922481868354816,731.7472,3878.0999,-0.9952,4.9083,18.861574
1827922486155349632,,,,,20.22029
1827922486155353728,,,,,20.499634
1827922486155354496,,,,,20.204716
1827922486155355520,,,,,20.47271
1827922486155356288,,,,,20.46377
1827922486155356416,,,,,20.818329
1827922486155356544,,,,,20.744102
1827922486155356928,,,,,20.329746
1827922486155358208,,,,,20.167736
1827922486155358848,,,,,20.616966
4206211109656105216,832.9707,4195.437,-1.7032,5.0239,18.652262
4206211109656106240,1052.4086,4293.859,-1.6459,4.9529,18.60689
4206211109656106496,,,,,19.151827
4206211109656106624,,,,,20.283144
4206211109656106880,673.5515,4217.428,-2.1427,5.0956,18.851362
4206211109656107008,860.2188,4048.5571,-2.1947,4.6182,18.563358
4206211109656107776,,,,,19.323322
4206211109656107904,672.1619,4188.853,-2.4388,5.1422,18.965363
4206211113961921792,,,,,19.717077
4206211113961924352,,,,,20.361427
4206211113961925632,,,,,19.946331
4206211113961930880,,,,,19.458788
3128157658163845248,623.1942,4501.2036,0.4942,4.6707,16.17762
3128157658163845632,1377.6774,6653.4795,-0.3204,4.027,14.677691
3128157688226537216,427.6728,6153.654,0.0615,4.2908,12.064466
3128157688226932992,779.0427,4973.4214,-2.0869,4.8134,17.762783
3128157688226940544,471.6059,3533.1511,-1.6086,4.4864,18.801136
3128157688227914112,,,,,19.179117
3128157692519554432,,,,,20.30322
3128157692524889088,757.3478,4252.7583,-3.0831,4.6343,18.365993
3128157722586672384,,,,,19.134222
3128157722586675968,640.611,3971.331,-0.5471,4.7714,18.094875
3128157722586678144,,,,,19.146059
3128157722586682752,729.8748,4272.4336,-1.5583,4.9287,18.4506
3128157722586683776,993.4786,4248.3994,-0.0461,4.6669,17.987967
1827720034280527360,,,,,17.422764
2809122677049836544,1105.3048,4234.903,-0.7236,4.5062,17.36405
2809122711409574272,,,,,12.715594
2809122745769313024,1703.15,6294.1016,-0.6858,3.9907,14.214627
2809122775833589120,589.8667,3611.4258,-0.5173,4.7023,18.338495
2809122878912809600,,,,,19.816156
2809122878912811776,,,,,20.472992
2809122947632287360,2819.03,5881.9907,-4.0667,4.6452,18.46471
2809122981992029184,,,,,19.42768
2809122981992706944,,,,,20.669424
2809123016351761664,,,,,19.439428
5388994323557841664,,,,,19.118057
5388994323557841920,940.24,4430.1416,-0.0851,4.6327,17.115005
5388994323558049664,1841.8976,5492.9478,-0.8876,4.4635,16.577765
5388994353619855744,,,,,19.105526
5388994353619868416,2671.5205,5546.674,-1.4179,4.6884,18.09501
5388994387979623552,1415.0277,4115.827,-0.5276,4.7291,18.682665
5388994387980513664,,,,,20.611462
5388994392275377280,,,,,20.790728
5388994392277319552,8983.23,5928.7227,-0.0647,3.0647,15.555002
5388994422339350400,2581.5015,5186.117,-1.0063,4.7267,18.404331
5388994422339356032,,,,,19.696217
5388994422340253952,,,,,20.696688
5388994426634222720,,,,,19.638702
5652491662380873472,,,,,19.608154
5652491662380873856,,,,,20.406897
5652491662380874112,,,,,20.166166
5652491662380874240,1653.1863,4644.559,-1.7612,4.8947,18.812332
5652491666675113728,,,,,20.328218
5652491696739504256,,,,,20.429594
5652491696739506432,314.6917,3252.6838,-1.084,4.6178,18.900549
5652491696739506560,1556.0422,4458.3823,-1.3783,4.8801,18.844265
5652491696739518208,,,,,19.499098
5652491696739529472,,,,,19.329027
5652491731100349952,,,,,19.062872
5652491735394617088,,,,,20.589901
5652491735396198016,,,,,19.700642
5652491735397068928,928.2546,4189.0874,-1.6013,4.9625,18.625395
5651021821494153088,,,,,20.04522
5651021825788028800,,,,,20.8187
5651021825788029312,,,,,20.67611
5651021860146759552,,,,,20.410456
5651021860147768960,,,,,20.649721
5651021860148636544,1076.4216,4699.9595,0.1078,4.4269,16.225527
5651021890211969536,1184.8256,5004.158,-1.4423,4.7907,17.271002
5651021890213907968,2486.767,5166.5547,-2.1699,4.7979,18.677118
5651021894507506560,,,,,20.449518
5651021894507650944,,,,,20.685953
5651021924571690880,,,,,20.283716
5651021958931431808,,,,,20.221535
5651021963226979840,,,,,20.760174
3128524444075339776,1341.9368,4715.373,-2.225,4.9538,18.490278
3128524444075355136,1576.0892,5570.485,-0.0586,4.0814,15.447061
3128524444075366144,,,,,19.39266
3128524444075367680,1136.8999,4648.9624,-1.7868,4.8962,18.043987
3128524444075387392,1182.2999,4987.957,-2.5455,4.8488,17.51732
3128524444076180096,,,,,19.99308
3128524448370997888,923.887,5603.204,-0.1015,4.3971,15.252036
3128524448370999808,1484.4474,6366.975,-0.7628,4.4867,15.930573
3128524478435089792,,,,,19.839054
3128524482730744576,,,,,16.353281
3128524512793595776,,,,,20.387672
5651989529164718080,,,,,19.13572
5651989533459928704,,,,,14.686832
5651989563524462592,2262.907,5522.7095,-1.4225,4.6996,17.787178
5651989563524465920,,,,,19.284863
5651989567818008320,,,,,20.221931
5651989597884212992,1234.724,4782.291,-1.5207,4.8305,17.733704
5651989597884214400,,,,,19.79657
5651989602177745024,,,,,20.695827
5651989602179227520,1792.511,5491.1597,-2.0827,4.7125,17.458757
5651989602180080896,3033.937,5367.583,-1.4517,4.7615,18.720173
5651989632243945600,,,,,19.094423
5651989666603694848,,,,,20.776882
5651989666603705856,2168.186,5134.451,-1.919,4.7967,18.417206
5388442952836296576,,,,,19.445177
2815904048159322624,,,,,20.447948
2815904082517305088,,,,,19.888226
2815904086812655232,1512.8156,5645.418,-0.9569,4.2049,15.048158
2815904116877045376,274.6568,3320.9194,-0.9806,4.6072,18.041182
2815904116877055616,2389.326,5110.565,-0.6769,4.7029,18.180359
2815904155532131712,724.3896,4119.29,0.144,4.3522,16.316963
2815904219956276480,1514.0701,5324.888,-0.5552,4.6027,16.786444
2815904254318044032,970.924,3597.2405,-0.7643,4.2339,17.896378
2815904258611349120,910.4857,5696.3467,-0.1608,4.1177,14.021355
2815904288676326016,,,,,20.718672
2815904323035445760,,,,,19.53368
5387901649519520768,2126.9036,4454.3335,0.1235,4.5974,18.601013
5387901679579408000,1312.0768,4734.4224,-1.3098,4.8113,17.865288
5387901679579422080,,,,,19.422434
5387901679579424640,,,,,19.815958
5387901679579430144,,,,,20.08715
5387901683876566016,,,,,20.957169
5387901683878023424,934.7552,4532.101,-0.6655,4.4609,16.570517
5387901683878023808,1467.2146,5748.9683,-0.6391,4.5076,16.383997
5387901683878024320,1008.277,5359.1914,-0.5693,4.5919,16.233515
5387901683878025088,1352.4268,4672.938,0.1066,4.3626,16.487022
5387901683878206976,,,,,20.304192
5387901683878224768,,,,,20.562162
5387901713939138816,,,,,19.838352
